Название группы,Фраза (с минус-словами),Продуктивность,ID объявления,Заголовок,Текст,Ссылка
мрт менделеевская,"""!мрт !менделеевская""",4.5,2101704995,МРТ на Менделеевской от 2000₽,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=a825749b87&utm_content=dev_{device_type}
мрт цао,"""мрт менделеевская""",4.5,2101704995,МРТ на Менделеевской от 2000₽,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=a825749b87&utm_content=dev_{device_type}
мрт цао,мрт менделеевская -головы -позвоночника -сделать -цена,7.4,2101704995,МРТ на Менделеевской от 2000₽,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=a825749b87&utm_content=dev_{device_type}
мрт цао,"""!мрт !цао""",5.0,2101704999,МРТ в ЦАО от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=9cc0c5f6ca&utm_content=dev_{device_type}
мрт сао,"""мрт цао""",5.0,2101704999,МРТ в ЦАО от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=9cc0c5f6ca&utm_content=dev_{device_type}
мрт сао,мрт цао -головы -позвоночника -сделать -цена,7.4,2101704999,МРТ в ЦАО от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=9cc0c5f6ca&utm_content=dev_{device_type}
мрт сао,"""мрт сао""",5.5,2101705000,МРТ в САО от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=08cdcb57a3&utm_content=dev_{device_type}
мрт в москве в сао,"""!мрт !сао""",5.5,2101705000,МРТ в САО от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=08cdcb57a3&utm_content=dev_{device_type}
мрт в москве в сао,мрт сао -головы -москве -позвоночника -сделать -цена,7.4,2101705000,МРТ в САО от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=08cdcb57a3&utm_content=dev_{device_type}
мрт в москве в сао,"""мрт в москве сао""",6.5,2101705001,МРТ в Москве в САО от 2000₽,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=27d3cfb133&utm_content=dev_{device_type}
цмрт менделеевская,мрт в москве в сао,8.5,2101705001,МРТ в Москве в САО от 2000₽,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=27d3cfb133&utm_content=dev_{device_type}
цмрт стромынка,"""!мрт в !москве !сао""",5.0,2101705001,МРТ в Москве в САО от 2000₽,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=27d3cfb133&utm_content=dev_{device_type}
цмрт сокольники,цмрт менделеевская,3.3,2101705003,ЦМРТ на Менделеевской. Звоните!,24 часа. От 2 000₽. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=f80e902d76&utm_content=dev_{device_type}
мрт орехово,цмрт стромынка,5.8,2101705006,ЦМРТ на Стромынке - от 2000₽,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7b17b2d188&utm_content=dev_{device_type}
мрт орехово,цмрт сокольники,6.6,2101705008,ЦМРТ в Сокольниках - от 2000₽,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=da872d1fb4&utm_content=dev_{device_type}
мрт орехово,"""мрт орехово""",4.9,2101705009,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт щелково,"""!мрт !орехово""",4.9,2101705009,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт щелково,мрт орехово -головы -зуево -метро -позвоночника -сделать -цена,6.7,2101705009,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт щелково,"""мрт щелково""",6.8,2101705011,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт домодедово,"""!мрт !щелково""",6.8,2101705011,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт домодедово,мрт щелково -головы -позвоночника -сделать -цена,6.6,2101705011,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт домодедово,"""мрт домодедово""",6.8,2101705020,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на павелецкой,"""!мрт !домодедово""",6.8,2101705020,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на павелецкой,мрт домодедово -головы -позвоночника -сделать -текстильщики -цена,6.5,2101705020,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на павелецкой,"""мрт на павелецкой""",7.6,2101705029,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на алексеевской,"""!мрт !на !павелецкой""",7.6,2101705029,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на алексеевской,мрт на павелецкой -головы -круглосуточно -метро -набережной -позвоночника -проезд -сделать -цена,6.3,2101705029,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на алексеевской,"""мрт на алексеевской""",7.5,2101705038,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт куркино,"""!мрт !на !алексеевской""",7.5,2101705038,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт куркино,мрт на алексеевской -головы -м -метро -мытищинская -отзывы -позвоночника -сделать -цена -центр,6.3,2101705038,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт куркино,"""мрт куркино""",6.7,2101705047,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт 1 парковая,"""!мрт !куркино""",6.7,2101705047,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
